R	G	B	Color_hex	Name
240	132	16	#f08410	479
192	124	104	#c07c68	480
192	92	44	#c05c2c	481
232	28	12	#e81c0c	482
168	160	108	#a8a06c	483
232	255	168	#e8ffa8	484
228	60	168	#e43ca8	485
200	212	96	#c8d460	486
200	144	180	#c890b4	487
224	208	132	#e0d084	488
178	154	104	#b29a68	489
255	172	152	#ffac98	490
104	255	244	#68fff4	491
242	196	144	#f2c490	492
140	68	212	#8c44d4	493
228	160	60	#e4a03c	494
192	108	28	#c06c1c	495
160	164	220	#a0a4dc	496
192	255	220	#c0ffdc	497
96	208	200	#60d0c8	498
220	72	255	#dc48ff	499
255	100	180	#ff64b4	500
56	120	80	#387850	501
24	184	252	#18b8fc	502
124	124	72	#7c7c48	503
148	76	90	#944c5a	504
152	252	0	#98fc00	505
28	140	168	#1c8ca8	506
148	168	92	#94a85c	507
200	236	0	#c8ec00	508
100	140	96	#648c60	509
168	60	32	#a83c20	510
112	228	180	#70e4b4	511
